Campaign ID,Campaign Month,Customer ID,Customer Full Name,Customer Email,Recommendation 1,Recommendation 2,Recommendation 3,Discount Percent,Coupon Code,Scheduled Day,Status,Retry Count,Last Attempt At,Sent At,Reactivated At,Coupon Status,Coupon Redeemed At,Coupon Transaction ID,Last Error
REACTIVA-2026-09,2026-09,CUST000037,Nikhil Saxena,nikhil.saxena.cust000037@reactiva.example,Bag,Sunglasses,Backpack,10,LGYXEP,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000040,Sameer Verma,sameer.verma.cust000040@reactiva.example,Saree,Kurta,Jacket,10,IMN3QZ,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000043,Aditi Rao,aditi.rao.cust000043@reactiva.example,Bag,Sunglasses,Backpack,10,ZKOE22,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000094,Divya Kumar,divya.kumar.cust000094@reactiva.example,Bag,Sunglasses,Backpack,10,DGOKMJ,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000104,Akash Malhotra,akash.malhotra.cust000104@reactiva.example,Saree,Kurta,Jacket,10,NDT7Q7,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000117,Deepika Saxena,deepika.saxena.cust000117@reactiva.example,Bag,Sunglasses,Backpack,10,2X3QXY,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000128,Ananya Saxena,ananya.saxena.cust000128@reactiva.example,Running Shoes,Sneakers,Slippers,10,QEPUGV,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000136,Meera Verma,meera.verma.cust000136@reactiva.example,Bag,Sunglasses,Backpack,10,ZSYJ2D,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000152,Raj Kapoor,raj.kapoor.cust000152@reactiva.example,Saree,Kurta,Jacket,10,W7TGW4,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000153,Rakesh Nair,rakesh.nair.cust000153@reactiva.example,Saree,Kurta,Jacket,10,36VSM5,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000165,Sameer Gupta,sameer.gupta.cust000165@reactiva.example,Running Shoes,Sneakers,Slippers,10,MDKW4X,1,PENDING,0,,,,ACTIVE,,,
REACTIVA-2026-09,2026-09,CUST000193,Amit Joshi,amit.joshi.cust000193@reactiva.example,Bag,Sunglasses,Backpack,10,QPGB5H,1,PENDING,0,,,,ACTIVE,,,
